_id,name_en,name_fr,name_de,name_es,name_it,name_jp,game,armor_type,hunter_rank,village_stars,dlc_event,gender,hunter_type,rarity,num_slots,defense,max_defense,fire_res,water_res,thunder_res,ice_res,dragon_res,price
1,Mafumofu Hood,Capuchon Mafumofu,Mafumofu-Kapuze,Capucha Mafumofu,Cappuccio Mafumofu,,0,0,1,1,,0,0,1,0,1,,0,0,0,3,0,
2,Leather Helm,Casque en cuir,Lederhelm,Casco de Cuero,Elmo di Cuoio,,0,0,1,1,,0,0,1,1,2,,2,0,0,0,0,
3,Chain Helm,Casque en mailles,Kettenhelm,Casco Cota de Malla,Elmo Maglia di Ferro,,0,0,1,1,,0,0,1,1,4,,2,2,-2,1,0,
4,Hunter's Helm,Casque de chasseur,Jägerhelm,Casco de Cazador,Elmo da Cacciatore,,0,0,1,1,,0,0,1,1,8,,0,0,-4,0,0,
5,Hunter's Cap,Heaume de chasseur,Jägerkappe,Gorro de Cazador,Cappello Cacciatore,,0,0,1,1,,0,0,1,1,6,,2,2,-2,2,0,
6,Protection Piercing,Piercing protecteur,Schutz-Piercing,Piercing Protección,Orecchino Protezione,,0,0,1,2,,0,0,2,0,12,,0,0,0,0,0,
7,Bone Helm,Casque d'os,Knochenhelm,Casco de Hueso,Elmo di Osso,,0,0,1,2,,0,0,2,1,14,,2,2,-2,-2,-2,
8,Bone Cap,Heaume d'os,Knochenkappe,Gorro de Hueso,Cappello di Osso,,0,0,1,2,,0,0,2,1,8,,5,5,0,-1,0,
9,Giaprey Helm,Casque Giaprey,Giaprey-Helm,Casco de Giaprey,Elmo di Giaprey,,0,0,1,1,,0,0,2,1,16,,0,1,1,3,-1,
10,Giaprey Cap,Heaume Giaprey,Giaprey-Kappe,Gorro de Giaprey,Cappello di Giaprey,,0,0,1,1,,0,0,2,1,8,,1,3,3,4,0,
11,Battle Helm,Casque de combat,Kampfhelm,Casco de Combate,Elmo da Battaglia,,0,0,1,1,,0,0,2,1,16,,2,-2,-2,-1,0,
12,Battle Cap,Heaume de combat,Kampfkappe,Gorro de Combate,Cappello Battaglia,,0,0,1,1,,0,0,2,1,10,,4,0,0,0,2,
13,Velociprey Helm,Casque Velociprey,Velociprey-Helm,Casco de Velociprey,Elmo Velociprey,,0,0,1,2,,0,0,2,1,20,,1,1,1,0,1,
14,Velociprey Cap,Heaume Velociprey,Velociprey-Kappe,Gorro de Velociprey,Cappello Velociprey,,0,0,1,2,,0,0,2,1,10,,3,3,3,1,0,
15,Vespoid Helm,Casque Vespoid,Vespoid-Helm,Casco de Vespoid,Elmo Vespoid,,0,0,1,1,,0,0,3,1,20,,-6,-5,2,-4,2,
16,Vespoid Cap,Heaume Vespoid,Vespoid-Kappe,Gorro de Vespoid,Cappello Vespoid,,0,0,1,1,,0,0,3,1,10,,-5,-4,5,-3,2,
17,Hi-Metal Helm,Casque haut-métal,Hochmetall-Helm,Casco de Megametal,Elmo Hi-Metal,,0,0,1,3,,0,0,3,1,20,,-2,-2,3,1,0,
18,Hi-Metal Cap,Heaume haut-métal,Hochmetall-Kappe,Gorro de Megametal,Cappello Hi-Metal,,0,0,1,3,,0,0,3,1,10,,0,0,5,0,0,
19,Hornet Helm,Casque Hornet,Hornissen-Helm,Casco de Hornet.,Elmo Hornet,,0,0,1,2,,0,0,3,1,22,,-6,-1,-5,-5,2,
20,Hornet Cap,Heaume Hornet,Hornissen-Kappe,Gorro de Hornet.,Cappello Hornet,,0,0,1,2,,0,0,3,1,11,,-5,2,-3,-4,3,
21,Genprey Helm,Casque Genprey,Genprey-Helm,Casco de Genprey,Elmo Genprey,,0,0,1,2,,0,0,3,1,22,,2,-2,3,-2,-1,
22,Genprey Cap,Heaume Genprey,Genprey-Kappe,Gorro de Genprey,Cappello Genprey,,0,0,1,2,,0,0,3,1,11,,4,0,5,0,0,
23,Ioprey Helm,Casque Ioprey,Ioprey-Helm,Casco de Ioprey,Elmo Ioprey,,0,0,1,3,,0,0,3,1,24,,3,2,-2,1,-1,
24,Ioprey Cap,Heaume Ioprey,Ioprey-Kappe,Gorro de Ioprey,Cappello Ioprey,,0,0,1,3,,0,0,3,1,12,,4,3,0,2,0,
25,Kut-Ku Helm,Casque Kut-Ku,Kut-Ku-Helm,Casco de Kut-Ku,Elmo di Kut-Ku,,0,0,1,2,,0,0,3,1,24,,2,-2,0,-2,-1,
26,Kut-Ku Cap,Heaume Kut-Ku,Kut-Ku-Kappe,Gorro de Kut-Ku,Cappello di Kut-Ku,,0,0,1,2,,0,0,3,1,12,,5,1,3,-1,0,
27,Cephalos Helm,Casque Cephalos,Cephalos-Helm,Casco de Cephalos,Elmo Cephalos,,0,0,1,2,,0,0,3,1,28,,-3,2,-4,2,0,
28,Cephalos Cap,Heaume Cephalos,Cephalos-Kappe,Gorro de Cephalos,Cappello Cephalos,,0,0,1,2,,0,0,3,2,16,,-1,5,-2,3,1,
