decoration_id,material_id,amount,recipe
1,615,1,1
1,614,1,1
1,8,1,1
2,617,1,1
2,478,1,1
2,616,2,1
3,618,1,1
3,595,4,1
3,606,3,1
3,517,2,1
4,615,1,1
4,454,2,1
5,619,1,1
5,343,1,1
5,617,1,2
5,86,1,2
5,44,1,2
6,615,1,1
6,9,2,1
7,617,1,1
7,544,2,1
7,51,1,1
8,619,1,1
8,573,1,1
8,516,2,1
9,615,1,1
9,538,1,1
10,617,1,1
10,206,1,1
11,619,1,1
11,620,1,1
11,411,2,1
12,615,1,1
12,142,2,1
13,617,1,1
13,487,1,1
13,140,2,1
14,615,1,1
14,539,2,1
15,617,1,1
15,452,2,1
15,621,2,1
16,619,1,1
16,504,1,1
16,368,2,1
17,615,1,1
17,453,2,1
17,622,1,1
18,617,1,1
18,37,2,1
18,40,2,1
18,619,1,2
18,335,1,2
19,618,1,1
19,419,2,1
19,623,1,1
19,619,1,2
19,171,1,2
19,132,3,2
20,617,1,1
20,64,1,1
20,624,1,1
21,618,1,1
21,574,1,1
21,619,1,2
21,551,1,2
21,557,1,2
22,615,1,1
22,12,2,1
23,617,1,1
23,625,1,1
24,619,1,1
24,568,1,1
24,260,3,1
25,615,1,1
25,38,1,1
25,471,2,1
26,617,1,1
26,156,1,1
27,615,1,1
27,95,1,1
28,619,1,1
28,477,1,1
28,618,1,2
28,245,1,2
28,493,1,2
29,618,1,1
29,304,1,1
29,561,2,1
29,106,1,1
30,619,1,1
30,166,1,1
30,618,1,2
30,325,2,2
30,564,1,2
31,618,1,1
31,300,1,1
31,324,1,1
31,169,1,1
32,619,1,1
32,541,1,1
32,60,1,1
33,618,1,1
33,378,1,1
33,626,2,1
33,459,2,1
34,618,1,1
34,372,1,1
34,619,1,2
34,236,2,2
34,76,1,2
35,618,1,1
35,361,3,1
35,253,1,1
36,618,1,1
36,282,1,1
36,285,1,1
36,619,1,2
36,159,1,2
36,172,1,2
37,618,1,1
37,403,2,1
37,402,3,1
37,473,4,1
38,617,1,1
38,50,1,1
38,13,1,1
39,618,1,1
39,297,1,1
39,619,1,2
39,552,1,2
39,79,1,2
40,618,1,1
40,276,2,1
40,627,1,1
40,97,1,1
41,615,1,1
41,14,1,1
41,543,1,1
42,617,1,1
42,55,1,1
42,45,1,1
43,618,1,1
43,257,1,1
43,592,1,1
43,619,1,2
43,123,1,2
43,83,1,2
44,619,1,1
44,86,1,1
45,618,1,1
45,271,1,1
45,222,4,1
45,421,2,1
46,618,1,1
46,387,2,1
46,377,1,1
47,615,1,1
47,5,1,1
47,454,2,1
48,615,1,1
48,11,2,1
48,453,1,1
49,617,1,1
49,69,1,1
49,6,2,1
50,618,1,1
50,326,1,1
50,270,1,1
50,619,1,2
50,161,1,2
50,168,1,2
50,84,2,2
51,619,1,1
51,158,1,1
51,618,1,2
51,301,1,2
51,149,2,2
52,618,1,1
52,593,1,1
52,303,1,1
52,117,1,1
53,619,1,1
53,173,1,1
53,87,1,1
53,618,1,2
53,387,1,2
53,295,1,2
54,618,1,1
54,296,2,1
54,307,1,1
54,294,2,1
55,617,1,1
55,629,1,1
55,628,5,1
56,618,1,1
56,392,3,1
56,401,4,1
56,299,1,1
57,617,1,1
57,67,1,1
57,135,3,1
58,618,1,1
58,394,3,1
58,578,2,1
58,290,1,1
59,617,1,1
59,455,3,1
59,118,2,1
60,618,1,1
60,382,3,1
60,405,3,1
60,289,1,1
61,619,1,1
61,167,1,1
61,630,1,1
62,617,1,1
62,458,1,1
62,631,1,1
63,615,1,1
63,35,1,1
63,632,1,1
64,617,1,1
64,55,1,1
64,633,1,1
65,619,1,1
65,82,1,1
65,634,1,1
66,619,1,1
66,215,1,1
66,147,1,1
66,635,1,1
67,618,1,1
67,380,3,1
67,146,2,1
67,635,50,1
68,617,1,1
68,201,1,1
68,62,1,1
68,636,1,1
69,617,1,1
69,39,1,1
69,452,1,1
69,637,1,1
70,617,1,1
70,28,1,1
70,21,1,1
70,638,1,1
71,619,1,1
71,219,2,1
71,556,1,1
71,638,20,1
72,617,1,1
72,49,1,1
72,487,1,1
72,639,1,1
73,618,1,1
73,306,1,1
73,640,1,1
73,619,1,2
73,183,1,2
73,130,1,2
74,618,1,1
74,302,1,1
74,319,1,1
74,286,5,1
75,615,1,1
75,13,1,1
75,38,1,1
76,617,1,1
76,641,1,1
76,70,1,1
76,135,2,1
77,619,1,1
77,549,1,1
77,88,2,1
78,618,1,1
78,597,3,1
78,567,1,1
79,619,1,1
79,162,1,1
79,115,1,1
79,109,1,1
80,618,1,1
80,526,2,1
80,358,4,1
80,398,1,1
81,617,1,1
81,102,1,1
81,90,1,1
82,619,1,1
82,602,1,1
82,642,1,1
83,615,1,1
83,36,1,1
83,643,2,1
84,617,1,1
84,54,1,1
84,36,1,1
84,644,1,1
